Compound,Date,Negative,Neutral,News_Org,Positive,Tweets Ago
0.0,Thu Jul 12 01:46:03 +0000 2018,1.0,0.0,CNN,0.0,50
0.0,Thu Jul 12 01:41:03 +0000 2018,1.0,0.0,CNN,0.0,51
-0.5267,Thu Jul 12 01:40:15 +0000 2018,0.841,0.159,CNN,0.0,52
0.5267,Thu Jul 12 01:31:34 +0000 2018,0.82,0.0,CNN,0.18,53
0.0772,Thu Jul 12 01:31:00 +0000 2018,0.933,0.0,CNN,0.067,54
-0.3818,Thu Jul 12 01:29:42 +0000 2018,0.852,0.148,CNN,0.0,55
0.0,Thu Jul 12 01:15:00 +0000 2018,1.0,0.0,CNN,0.0,56
-0.7579,Thu Jul 12 01:03:10 +0000 2018,0.637,0.311,CNN,0.052,57
-0.4215,Thu Jul 12 01:01:54 +0000 2018,0.82,0.127,CNN,0.053,58
0.2732,Thu Jul 12 00:59:13 +0000 2018,0.9,0.0,CNN,0.1,59
-0.34,Thu Jul 12 00:49:05 +0000 2018,0.888,0.112,CNN,0.0,60
0.4019,Thu Jul 12 03:16:02 +0000 2018,0.599,0.15,CNN,0.251,61
0.0,Thu Jul 12 03:01:07 +0000 2018,1.0,0.0,CNN,0.0,62
0.0,Thu Jul 12 02:56:17 +0000 2018,1.0,0.0,CNN,0.0,63
0.0,Thu Jul 12 02:46:04 +0000 2018,1.0,0.0,CNN,0.0,64
-0.4549,Thu Jul 12 02:43:39 +0000 2018,0.894,0.106,CNN,0.0,65
-0.5719,Thu Jul 12 02:31:03 +0000 2018,0.778,0.222,CNN,0.0,66
0.0,Thu Jul 12 02:16:29 +0000 2018,1.0,0.0,CNN,0.0,67
0.0,Thu Jul 12 02:16:03 +0000 2018,1.0,0.0,CNN,0.0,68
0.5994,Thu Jul 12 02:01:05 +0000 2018,0.754,0.0,CNN,0.246,69
0.0,Thu Jul 12 01:46:03 +0000 2018,1.0,0.0,CNN,0.0,70
0.0,Thu Jul 12 01:41:03 +0000 2018,1.0,0.0,CNN,0.0,71
-0.5267,Thu Jul 12 01:40:15 +0000 2018,0.841,0.159,CNN,0.0,72
0.5267,Thu Jul 12 01:31:34 +0000 2018,0.82,0.0,CNN,0.18,73
0.0772,Thu Jul 12 01:31:00 +0000 2018,0.933,0.0,CNN,0.067,74
-0.3818,Thu Jul 12 01:29:42 +0000 2018,0.852,0.148,CNN,0.0,75
0.0,Thu Jul 12 01:15:00 +0000 2018,1.0,0.0,CNN,0.0,76
-0.7579,Thu Jul 12 01:03:10 +0000 2018,0.637,0.311,CNN,0.052,77
-0.4215,Thu Jul 12 01:01:54 +0000 2018,0.82,0.127,CNN,0.053,78
0.2732,Thu Jul 12 00:59:13 +0000 2018,0.9,0.0,CNN,0.1,79
-0.34,Thu Jul 12 00:49:05 +0000 2018,0.888,0.112,CNN,0.0,80
